method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
winner_xfg::targeted_subgraph_injection,5,101,30,30,30,2,0.06666666666666667,1.0,0.1380569681933079
winner_xfg::targeted_subgraph_injection,5,137,30,30,30,2,0.06666666666666667,1.0,0.13805697216814458
winner_xfg::targeted_subgraph_injection,5,2026,30,30,30,2,0.06666666666666667,1.0,0.1380569696858304
winner_xfg::winner_xfg_edge_attack,1,7,30,30,30,3,0.1,1.0,0.09953123348661094
winner_xfg::winner_xfg_edge_attack,1,17,30,30,30,3,0.1,1.0,0.09953123349728235
winner_xfg::winner_xfg_edge_attack,1,29,30,30,30,3,0.1,1.0,0.09953123349158284
winner_xfg::winner_xfg_edge_attack,1,42,30,30,30,3,0.1,1.0,0.0995312325038716
winner_xfg::winner_xfg_edge_attack,1,61,30,30,30,3,0.1,1.0,0.0995312325038716
winner_xfg::winner_xfg_edge_attack,1,73,30,30,30,3,0.1,1.0,0.09953123325002106
winner_xfg::winner_xfg_edge_attack,1,89,30,30,30,3,0.1,1.0,0.09953123349728235
winner_xfg::winner_xfg_edge_attack,1,101,30,30,30,3,0.1,1.0,0.09953123225551891
winner_xfg::winner_xfg_edge_attack,1,137,30,30,30,3,0.1,1.0,0.09953123348758107
winner_xfg::winner_xfg_edge_attack,1,2026,30,30,30,3,0.1,1.0,0.09953123348079017
winner_xfg::winner_xfg_edge_attack,3,7,30,30,30,7,0.23333333333333334,1.0,0.16914846334754696
winner_xfg::winner_xfg_edge_attack,3,17,30,30,30,7,0.23333333333333334,1.0,0.1691484600840388
winner_xfg::winner_xfg_edge_attack,3,29,30,30,30,7,0.23333333333333334,1.0,0.16914845962116665
winner_xfg::winner_xfg_edge_attack,3,42,30,30,30,7,0.23333333333333334,1.0,0.16914846111237417
winner_xfg::winner_xfg_edge_attack,3,61,30,30,30,7,0.23333333333333334,1.0,0.16914846236965964
winner_xfg::winner_xfg_edge_attack,3,73,30,30,30,7,0.23333333333333334,1.0,0.16914845963389957
winner_xfg::winner_xfg_edge_attack,3,89,30,30,30,7,0.23333333333333334,1.0,0.1691484616661958
winner_xfg::winner_xfg_edge_attack,3,101,30,30,30,7,0.23333333333333334,1.0,0.16914846255592414
winner_xfg::winner_xfg_edge_attack,3,137,30,30,30,7,0.23333333333333334,1.0,0.16914846306427106
winner_xfg::winner_xfg_edge_attack,3,2026,30,30,30,7,0.23333333333333334,1.0,0.16914846213294848
